model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.0,3560,15,10.0,0.1,0.1,85.83021223470662,85.83021223470662,0.0
1,0.05,3560,15,10.0,0.1,0.1,86.30461922596753,86.4856429463171,0.18102372034956601
1,0.1,3560,15,10.0,0.1,0.1,85.75530586766543,86.03620474406992,0.28089887640449546
1,0.15,3560,15,10.0,0.1,0.1,85.66791510611735,85.79275905118602,0.12484394506867033
1,0.2,3560,15,10.0,0.1,0.1,85.94257178526841,86.09862671660424,0.15605493133583082
1,0.25,3560,15,10.0,0.1,0.1,85.74282147315856,85.63046192259675,-0.11235955056179989
1,0.3,3560,15,10.0,0.1,0.1,86.40449438202248,86.49812734082397,0.09363295880150133
1,0.35,3560,15,10.0,0.1,0.1,85.58676654182271,85.69288389513108,0.10611735330836894
1,0.4,3560,15,10.0,0.1,0.1,85.59925093632958,85.15605493133583,-0.4431960049937572
1,0.45,3560,15,10.0,0.1,0.1,86.541822721598,85.46192259675406,-1.0799001248439424
1,0.5,3560,15,10.0,0.1,0.1,85.39325842696628,84.41947565543072,-0.973782771535582
1,0.55,3560,15,10.0,0.1,0.1,85.19975031210986,83.16479400749064,-2.034956304619223
1,0.6,3560,15,10.0,0.1,0.1,85.36204744069911,82.92759051186017,-2.4344569288389524
1,0.65,3560,15,10.0,0.1,0.1,85.83645443196005,82.0287141073658,-3.807740324594249
1,0.7,3560,15,10.0,0.1,0.1,85.65543071161049,81.70411985018727,-3.951310861423218
1,0.75,3560,15,10.0,0.1,0.1,86.21098626716605,81.2234706616729,-4.987515605493138
1,0.8,3560,15,10.0,0.1,0.1,85.91760299625469,81.3171036204744,-4.600499375780271
1,0.85,3560,15,10.0,0.1,0.1,85.25593008739077,78.07740324594258,-7.178526841448189
1,0.9,3560,15,10.0,0.1,0.1,85.67415730337078,77.57178526841447,-8.102372034956309
1,0.95,3560,15,10.0,0.1,0.1,85.83645443196005,75.82397003745318,-10.012484394506865
1,1.0,3560,15,10.0,0.1,0.1,85.59925093632958,76.84144818976279,-8.75780274656679
1,1.05,3560,15,10.0,0.1,0.1,85.81148564294632,73.88264669163546,-11.928838951310862
1,1.1,3560,15,10.0,0.1,0.1,86.08614232209737,73.26466916354556,-12.821473158551811
1,1.15,3560,15,10.0,0.1,0.1,85.43695380774031,70.58052434456928,-14.85642946317103
1,1.2,3560,15,10.0,0.1,0.1,85.86142322097378,68.42696629213484,-17.43445692883895
1,1.25,3560,15,10.0,0.1,0.1,86.00499375780274,70.46192259675406,-15.543071161048692
1,1.3,3560,15,10.0,0.1,0.1,85.74282147315856,63.320848938826465,-22.42197253433209
1,1.35,3560,15,10.0,0.1,0.1,86.07365792759052,64.85018726591761,-21.2234706616729
1,1.4,3560,15,10.0,0.1,0.1,85.72409488139824,64.95006242197253,-20.77403245942572
1,1.45,3560,15,10.0,0.1,0.1,86.07365792759052,65.40574282147315,-20.667915106117356
1,1.5,3560,15,10.0,0.1,0.1,85.78027465667915,62.51560549313358,-23.264669163545566
