model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.0,3560,15,20.0,0.1,0.1,89.11134527572882,89.11134527572882,0.0
1,0.05,3560,15,20.0,0.1,0.1,89.10432033719704,89.05514576747453,-0.04917456972251273
1,0.1,3560,15,20.0,0.1,0.1,89.31506849315068,89.38531787846857,0.07024938531788223
1,0.15,3560,15,20.0,0.1,0.1,89.32911837021426,89.35721812434141,0.028099754127151755
1,0.2,3560,15,20.0,0.1,0.1,89.70144011239901,89.35721812434141,-0.34422198805760046
1,0.25,3560,15,20.0,0.1,0.1,89.80681419037585,89.3572181243414,-0.44959606603442237
1,0.3,3560,15,20.0,0.1,0.1,89.07622058306988,88.91464699683877,-0.16157358623111975
1,0.35,3560,15,20.0,0.1,0.1,89.24481910783281,88.6687741482262,-0.5760449596066082
1,0.4,3560,15,20.0,0.1,0.1,89.6522655426765,89.04812082894276,-0.6041447137337513
1,0.45,3560,15,20.0,0.1,0.1,89.31506849315068,88.24727783631893,-1.067790656831761
1,0.5,3560,15,20.0,0.1,0.1,89.32209343168246,87.97330523357921,-1.34878819810327
1,0.55,3560,15,20.0,0.1,0.1,89.64524060414472,88.17000351246925,-1.475237091675453
1,0.6,3560,15,20.0,0.1,0.1,89.72953986652617,87.33403582718651,-2.3955040393396585
1,0.65,3560,15,20.0,0.1,0.1,89.20266947664209,86.51914295749911,-2.6835265191429585
1,0.7,3560,15,20.0,0.1,0.1,89.32209343168249,86.09764664559187,-3.2244467860906214
1,0.75,3560,15,20.0,0.1,0.1,89.08324552160168,85.5497014401124,-3.533544081489288
1,0.8,3560,15,20.0,0.1,0.1,89.31506849315068,85.3670530382859,-3.9480154548647675
1,0.85,3560,15,20.0,0.1,0.1,89.67334035827187,84.81208289427467,-4.861257463997191
1,0.9,3560,15,20.0,0.1,0.1,89.65929048120829,84.05338953284159,-5.605900948366701
1,0.95,3560,15,20.0,0.1,0.1,89.28696873902354,83.37197049525817,-5.91499824376537
1,1.0,3560,15,20.0,0.1,0.1,89.67334035827187,81.83350895679663,-7.83983140147524
1,1.05,3560,15,20.0,0.1,0.1,89.21671935370566,81.33473832103968,-7.881981032665967
1,1.1,3560,15,20.0,0.1,0.1,88.97084650509308,80.53389532841587,-8.436951176677203
1,1.15,3560,15,20.0,0.1,0.1,89.19564453811029,81.08886547242712,-8.106779065683174
1,1.2,3560,15,20.0,0.1,0.1,89.30101861608712,77.25324903407096,-12.047769582016153
1,1.25,3560,15,20.0,0.1,0.1,89.51879171057253,77.35862311204778,-12.16016859852476
1,1.3,3560,15,20.0,0.1,0.1,89.3572181243414,77.49209694415174,-11.865121180189675
1,1.35,3560,15,20.0,0.1,0.1,89.64524060414472,76.68422901299614,-12.96101159114858
1,1.4,3560,15,20.0,0.1,0.1,89.16754478398313,74.78047067088163,-14.387074113101514
1,1.45,3560,15,20.0,0.1,0.1,89.17456972251492,73.96557780119424,-15.20899192132068
1,1.5,3560,15,20.0,0.1,0.1,89.00597119775202,71.34527572883738,-17.660695468914646
