model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,solution_diff_norm,error_matrix_norm
1,0.0,590,15,30.0,0.1,0.1,0.0,0.0
1,0.05,590,15,30.0,0.1,0.1,0.4848883535231626,0.7102384036127363
1,0.1,590,15,30.0,0.1,0.1,0.997697386338898,1.4305488691644943
1,0.15,590,15,30.0,0.1,0.1,1.51687712942904,2.1138103970981157
1,0.2,590,15,30.0,0.1,0.1,2.074519820474186,2.862393389765484
1,0.25,590,15,30.0,0.1,0.1,2.674774989980796,3.560134222899774
1,0.3,590,15,30.0,0.1,0.1,3.264640150867219,4.299534881323976
1,0.35,590,15,30.0,0.1,0.1,3.848226756261802,4.9607969104856
1,0.4,590,15,30.0,0.1,0.1,4.385511354142897,5.551219465682189
1,0.45,590,15,30.0,0.1,0.1,4.996547759408617,6.254551691171189
1,0.5,590,15,30.0,0.1,0.1,5.599967506910691,6.855198406816467
1,0.55,590,15,30.0,0.1,0.1,6.151757833655409,7.4760912451824355
1,0.6,590,15,30.0,0.1,0.1,6.651128891538461,8.023458230348535
1,0.65,590,15,30.0,0.1,0.1,6.914387814820325,8.210509845477619
1,0.7,590,15,30.0,0.1,0.1,7.190337836939972,8.457653962806955
1,0.75,590,15,30.0,0.1,0.1,7.731373143355654,9.076186709821753
1,0.8,590,15,30.0,0.1,0.1,7.958470879046729,9.306312457327442
1,0.85,590,15,30.0,0.1,0.1,8.155896533435593,9.531134192583972
1,0.9,590,15,30.0,0.1,0.1,8.575418191253434,9.90096381316452
1,0.95,590,15,30.0,0.1,0.1,8.591370103168767,9.897946536751661
1,1.0,590,15,30.0,0.1,0.1,8.92262340182061,10.240306078689844
