convergent_solution_L2_difference,error_matrix_L2,percentage_of_known_labels,model_used,perturbed_standard_deviation,data_size,knn,α,β
0.0,0.0,20.0,LS,0.0,3560,15,0.1,0.9
3.605247955219962,8.969836701249235,20.0,LS,0.05,3560,15,0.1,0.9
7.190294249918823,17.854534277446188,20.0,LS,0.1,3560,15,0.1,0.9
10.877589606951293,26.872870343925676,20.0,LS,0.15,3560,15,0.1,0.9
14.3963512633401,35.83215346733782,20.0,LS,0.2,3560,15,0.1,0.9
18.16102296675104,44.85199001661975,20.0,LS,0.25,3560,15,0.1,0.9
21.573540435083967,53.73567210043943,20.0,LS,0.3,3560,15,0.1,0.9
25.357535533560757,62.79056137119932,20.0,LS,0.35,3560,15,0.1,0.9
28.8023873277754,71.56451897077656,20.0,LS,0.4,3560,15,0.1,0.9
32.5998977087896,80.75167545032869,20.0,LS,0.45,3560,15,0.1,0.9
36.037979631775265,89.39905904490196,20.0,LS,0.5,3560,15,0.1,0.9
39.56654530867591,98.41901558911562,20.0,LS,0.55,3560,15,0.1,0.9
43.09360530763482,107.3294987750749,20.0,LS,0.6,3560,15,0.1,0.9
47.124202077608096,116.34749472122189,20.0,LS,0.65,3560,15,0.1,0.9
50.614782496471356,125.57413026490183,20.0,LS,0.7,3560,15,0.1,0.9
53.863085321241556,133.65027257330672,20.0,LS,0.75,3560,15,0.1,0.9
57.411256279441076,142.6102588839581,20.0,LS,0.8,3560,15,0.1,0.9
61.27738410712412,152.41259183754,20.0,LS,0.85,3560,15,0.1,0.9
64.77932959194278,160.75814071694367,20.0,LS,0.9,3560,15,0.1,0.9
68.97776766922172,170.17421764018061,20.0,LS,0.95,3560,15,0.1,0.9
72.3236643833576,179.52396928672943,20.0,LS,1.0,3560,15,0.1,0.9
