model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
LS,0.0,590,15,15.0,0.1,0.9,77.09741550695824,77.09741550695824,0.0
LS,0.0,590,15,20.0,0.1,0.9,78.6892177589852,78.6892177589852,0.0
LS,0.0,590,15,25.0,0.1,0.9,83.25791855203619,83.25791855203619,0.0
LS,0.0,590,15,30.0,0.1,0.9,81.99029126213591,81.99029126213591,0.0
LS,0.05,590,15,15.0,0.1,0.9,76.10337972167,75.90457256461232,-0.19880715705765226
LS,0.05,590,15,20.0,0.1,0.9,79.53488372093022,79.40803382663847,-0.12684989429175175
LS,0.05,590,15,25.0,0.1,0.9,82.85067873303167,82.57918552036199,-0.2714932126696823
LS,0.05,590,15,30.0,0.1,0.9,83.44660194174756,83.54368932038834,0.09708737864077648
LS,0.1,590,15,15.0,0.1,0.9,77.09741550695826,76.46123260437376,-0.6361829025844912
LS,0.1,590,15,20.0,0.1,0.9,80.71881606765328,80.04228329809726,-0.6765327695560274
LS,0.1,590,15,25.0,0.1,0.9,81.17647058823529,81.13122171945702,-0.045248868778281805
LS,0.1,590,15,30.0,0.1,0.9,82.42718446601941,81.31067961165049,-1.1165048543689295
LS,0.15,590,15,15.0,0.1,0.9,75.02982107355865,74.55268389662028,-0.4771371769383677
LS,0.15,590,15,20.0,0.1,0.9,79.49260042283298,78.73150105708245,-0.7610993657505304
LS,0.15,590,15,25.0,0.1,0.9,81.90045248868778,81.71945701357467,-0.18099547511312153
LS,0.15,590,15,30.0,0.1,0.9,81.74757281553397,80.97087378640776,-0.7766990291262118
LS,0.2,590,15,15.0,0.1,0.9,76.2624254473161,74.43339960238569,-1.8290258449304162
LS,0.2,590,15,20.0,0.1,0.9,79.9154334038055,78.90063424947145,-1.0147991543340396
LS,0.2,590,15,25.0,0.1,0.9,82.8054298642534,81.31221719457014,-1.4932126696832568
LS,0.2,590,15,30.0,0.1,0.9,82.81553398058252,82.28155339805825,-0.5339805825242706
LS,0.25,590,15,15.0,0.1,0.9,76.69980119284294,74.27435387673957,-2.425447316103373
LS,0.25,590,15,20.0,0.1,0.9,80.76109936575054,78.52008456659618,-2.2410147991543368
LS,0.25,590,15,25.0,0.1,0.9,83.07692307692307,81.31221719457014,-1.764705882352942
LS,0.25,590,15,30.0,0.1,0.9,82.42718446601941,80.97087378640776,-1.4563106796116472
LS,0.3,590,15,15.0,0.1,0.9,76.62027833001989,72.08747514910537,-4.53280318091451
LS,0.3,590,15,20.0,0.1,0.9,79.15433403805496,74.63002114164905,-4.524312896405917
LS,0.3,590,15,25.0,0.1,0.9,81.6289592760181,78.46153846153848,-3.167420814479635
LS,0.3,590,15,30.0,0.1,0.9,83.00970873786407,79.46601941747572,-3.543689320388347
LS,0.35,590,15,15.0,0.1,0.9,77.29622266401591,71.88866799204771,-5.407554671968194
LS,0.35,590,15,20.0,0.1,0.9,79.57716701902748,73.446088794926,-6.131078224101477
LS,0.35,590,15,25.0,0.1,0.9,82.26244343891403,76.01809954751131,-6.244343891402716
LS,0.35,590,15,30.0,0.1,0.9,83.64077669902912,79.9029126213592,-3.7378640776699
LS,0.4,590,15,15.0,0.1,0.9,76.81908548707754,67.2365805168986,-9.582504970178922
LS,0.4,590,15,20.0,0.1,0.9,79.28118393234674,73.15010570824523,-6.131078224101486
LS,0.4,590,15,25.0,0.1,0.9,80.85972850678732,75.79185520361992,-5.06787330316742
LS,0.4,590,15,30.0,0.1,0.9,82.57281553398057,77.81553398058252,-4.757281553398056
LS,0.45,590,15,15.0,0.1,0.9,76.5009940357853,63.22067594433399,-13.280318091451296
LS,0.45,590,15,20.0,0.1,0.9,80.63424947145879,70.61310782241014,-10.021141649048625
LS,0.45,590,15,25.0,0.1,0.9,82.71493212669684,73.98190045248869,-8.733031674208144
LS,0.45,590,15,30.0,0.1,0.9,82.62135922330097,75.24271844660194,-7.378640776699027
LS,0.5,590,15,15.0,0.1,0.9,76.30218687872764,64.69184890656064,-11.610337972167
LS,0.5,590,15,20.0,0.1,0.9,80.97251585623678,66.84989429175475,-14.122621564482035
LS,0.5,590,15,25.0,0.1,0.9,82.39819004524887,70.99547511312217,-11.402714932126704
LS,0.5,590,15,30.0,0.1,0.9,82.37864077669903,74.75728155339806,-7.621359223300968
LS,0.55,590,15,15.0,0.1,0.9,77.05765407554672,59.60238568588469,-17.45526838966203
LS,0.55,590,15,20.0,0.1,0.9,79.91543340380551,66.553911205074,-13.361522198731498
LS,0.55,590,15,25.0,0.1,0.9,81.71945701357467,68.09954751131221,-13.619909502262448
LS,0.55,590,15,30.0,0.1,0.9,82.57281553398057,72.71844660194175,-9.854368932038827
LS,0.6,590,15,15.0,0.1,0.9,75.82504970178927,56.02385685884692,-19.801192842942346
LS,0.6,590,15,20.0,0.1,0.9,80.21141649048624,59.61945031712473,-20.59196617336152
LS,0.6,590,15,25.0,0.1,0.9,82.26244343891403,67.55656108597285,-14.70588235294118
LS,0.6,590,15,30.0,0.1,0.9,82.37864077669903,69.5631067961165,-12.815533980582519
LS,0.65,590,15,15.0,0.1,0.9,77.29622266401591,53.83697813121273,-23.459244532803183
LS,0.65,590,15,20.0,0.1,0.9,79.15433403805497,58.56236786469344,-20.59196617336152
LS,0.65,590,15,25.0,0.1,0.9,82.21719457013576,65.06787330316742,-17.149321266968332
LS,0.65,590,15,30.0,0.1,0.9,82.62135922330097,66.2621359223301,-16.359223300970864
LS,0.7,590,15,15.0,0.1,0.9,77.49502982107357,52.44532803180914,-25.04970178926441
LS,0.7,590,15,20.0,0.1,0.9,79.36575052854123,58.18181818181819,-21.18393234672304
LS,0.7,590,15,25.0,0.1,0.9,82.48868778280543,61.53846153846153,-20.950226244343888
LS,0.7,590,15,30.0,0.1,0.9,82.62135922330097,67.08737864077672,-15.533980582524265
LS,0.75,590,15,15.0,0.1,0.9,76.34194831013916,48.07157057654075,-28.270377733598412
LS,0.75,590,15,20.0,0.1,0.9,79.83086680761099,57.84355179704016,-21.987315010570825
LS,0.75,590,15,25.0,0.1,0.9,81.17647058823529,57.51131221719457,-23.665158371040725
LS,0.75,590,15,30.0,0.1,0.9,83.10679611650485,62.18446601941747,-20.922330097087375
LS,0.8,590,15,15.0,0.1,0.9,77.05765407554672,45.566600397614316,-31.491053677932406
LS,0.8,590,15,20.0,0.1,0.9,80.42283298097252,49.894291754756864,-30.528541226215644
LS,0.8,590,15,25.0,0.1,0.9,81.4027149321267,55.113122171945705,-26.289592760180987
LS,0.8,590,15,30.0,0.1,0.9,82.96116504854368,62.33009708737863,-20.631067961165048
LS,0.85,590,15,15.0,0.1,0.9,77.49502982107357,42.78330019880716,-34.711729622266404
LS,0.85,590,15,20.0,0.1,0.9,79.83086680761099,48.71035940803383,-31.120507399577168
LS,0.85,590,15,25.0,0.1,0.9,81.13122171945702,53.574660633484164,-27.556561085972845
LS,0.85,590,15,30.0,0.1,0.9,82.13592233009709,58.834951456310684,-23.300970873786405
LS,0.9,590,15,15.0,0.1,0.9,77.09741550695826,35.82504970178926,-41.27236580516899
LS,0.9,590,15,20.0,0.1,0.9,79.95771670190274,49.13319238900634,-30.824524312896408
LS,0.9,590,15,25.0,0.1,0.9,82.35294117647058,52.533936651583716,-29.81900452488687
LS,0.9,590,15,30.0,0.1,0.9,82.13592233009709,55.53398058252427,-26.601941747572816
LS,0.95,590,15,15.0,0.1,0.9,77.17693836978131,43.817097415506964,-33.359840954274354
LS,0.95,590,15,20.0,0.1,0.9,78.94291754756871,40.97251585623678,-37.97040169133192
LS,0.95,590,15,25.0,0.1,0.9,81.4027149321267,52.126696832579185,-29.276018099547507
LS,0.95,590,15,30.0,0.1,0.9,82.18446601941747,51.60194174757281,-30.582524271844658
LS,1.0,590,15,15.0,0.1,0.9,75.26838966202783,35.984095427435385,-39.28429423459244
LS,1.0,590,15,20.0,0.1,0.9,79.0274841437632,44.016913319238895,-35.010570824524315
LS,1.0,590,15,25.0,0.1,0.9,81.94570135746606,47.466063348416284,-34.479638009049765
LS,1.0,590,15,30.0,0.1,0.9,81.6504854368932,50.29126213592233,-31.35922330097087
