model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.25,3560,15,5.0,0.1,0.1,81.43406268480189,81.09107037256062,-0.3429923122412745
1,0.25,3560,15,10.0,0.1,0.1,86.02996254681648,86.16729088639201,0.13732833957552942
1,0.25,3560,15,15.0,0.1,0.1,87.85926660059464,88.02775024777007,0.16848364717542239
1,0.25,3560,15,20.0,0.1,0.1,89.32911837021426,89.12539515279244,-0.20372321742184596
1,0.5,3560,15,5.0,0.1,0.1,81.13542282672975,79.37906564163217,-1.7563571850975777
1,0.5,3560,15,10.0,0.1,0.1,85.47440699126092,83.93882646691635,-1.5355805243445715
1,0.5,3560,15,15.0,0.1,0.1,87.79649818301951,86.61050545094152,-1.185992732077969
1,0.5,3560,15,20.0,0.1,0.1,89.50122936424307,88.05760449596066,-1.4436248682824
1,0.75,3560,15,5.0,0.1,0.1,80.76581904198699,73.95328208160852,-6.812536960378476
1,0.75,3560,15,10.0,0.1,0.1,86.09238451935082,80.78339575530589,-5.308988764044942
1,0.75,3560,15,15.0,0.1,0.1,88.22266270234556,83.62405021473407,-4.598612487611499
1,0.75,3560,15,20.0,0.1,0.1,89.33614330874605,86.16438356164383,-3.1717597471022145
1,1.0,3560,15,5.0,0.1,0.1,80.90774689532822,63.49201655824955,-17.415730337078656
1,1.0,3560,15,10.0,0.1,0.1,85.96129837702873,75.47128589263421,-10.490012484394509
1,1.0,3560,15,15.0,0.1,0.1,88.03105384869508,80.01651800462506,-8.014535844070036
1,1.0,3560,15,20.0,0.1,0.1,89.55742887249735,82.42711626273268,-7.130312609764664
