model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.0,3560,15,20.0,0.1,0.1,89.51176677204074,89.51176677204074,0.0
1,0.05,3560,15,20.0,0.1,0.1,89.39585528626625,89.38883034773446,-0.007024938531787939
1,0.1,3560,15,20.0,0.1,0.1,89.37126800140499,89.37478047067087,0.0035124692658925483
1,0.15,3560,15,20.0,0.1,0.1,89.2588689848964,89.10783280646294,-0.15103617843343925
1,0.2,3560,15,20.0,0.1,0.1,89.51879171057253,89.30804355461889,-0.21074815595363533
1,0.25,3560,15,20.0,0.1,0.1,89.26940639269407,89.15700737618546,-0.11239901650860987
1,0.3,3560,15,20.0,0.1,0.1,89.16754478398313,88.9005971197752,-0.26694766420793314
1,0.35,3560,15,20.0,0.1,0.1,89.4309799789252,88.9532841587636,-0.4776958201615713
1,0.4,3560,15,20.0,0.1,0.1,89.38883034773446,88.5458377239199,-0.8429926238145413
1,0.45,3560,15,20.0,0.1,0.1,89.32560590094837,88.1489286968739,-1.1766772040744626
1,0.5,3560,15,20.0,0.1,0.1,89.22023182297156,87.8609062170706,-1.3593256059009478
1,0.55,3560,15,20.0,0.1,0.1,89.42044257112751,87.60449596066034,-1.815946610467158
1,0.6,3560,15,20.0,0.1,0.1,89.19915700737619,87.21109940288022,-1.988057604495964
1,0.65,3560,15,20.0,0.1,0.1,89.52581664910431,86.83175272216369,-2.694063926940639
1,0.7,3560,15,20.0,0.1,0.1,89.38180540920267,86.48050579557429,-2.901299613628379
1,0.75,3560,15,20.0,0.1,0.1,89.33614330874606,86.12574639971902,-3.210396909027044
1,0.8,3560,15,20.0,0.1,0.1,89.1921320688444,85.07200561995083,-4.120126448893572
1,0.85,3560,15,20.0,0.1,0.1,89.3080435546189,83.58623112047769,-5.721812434141201
1,0.9,3560,15,20.0,0.1,0.1,89.46610467158413,84.17983842641378,-5.286266245170353
1,0.95,3560,15,20.0,0.1,0.1,89.24130663856691,82.97857393747805,-6.262732701088865
1,1.0,3560,15,20.0,0.1,0.1,89.21671935370566,82.0758693361433,-7.1408500175623475
