model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.25,590,15,5.0,0.1,0.1,69.55516014234874,70.3202846975089,0.7651245551601441
1,0.25,590,15,10.0,0.1,0.1,76.45283018867926,76.67924528301889,0.22641509433962598
1,0.25,590,15,15.0,0.1,0.1,81.19284294234592,81.11332007952286,-0.0795228628230646
1,0.25,590,15,20.0,0.1,0.1,81.52219873150106,81.62790697674419,0.10570824524313452
1,0.5,590,15,5.0,0.1,0.1,72.68683274021353,44.07473309608541,-28.612099644128108
1,0.5,590,15,10.0,0.1,0.1,78.0754716981132,74.0,-4.075471698113212
1,0.5,590,15,15.0,0.1,0.1,80.53677932405566,78.98608349900596,-1.5506958250497007
1,0.5,590,15,20.0,0.1,0.1,82.05073995771671,81.2262156448203,-0.8245243128964092
1,0.75,590,15,5.0,0.1,0.1,73.00711743772243,39.5373665480427,-33.469750889679716
1,0.75,590,15,10.0,0.1,0.1,78.50943396226414,57.886792452830186,-20.622641509433965
1,0.75,590,15,15.0,0.1,0.1,81.03379721669981,73.37972166998013,-7.65407554671968
1,0.75,590,15,20.0,0.1,0.1,82.24101479915433,77.52642706131078,-4.714587737843549
1,1.0,590,15,5.0,0.1,0.1,72.47330960854092,12.08185053380783,-60.391459074733085
1,1.0,590,15,10.0,0.1,0.1,78.39622641509435,31.71698113207547,-46.67924528301887
1,1.0,590,15,15.0,0.1,0.1,79.58250497017892,52.68389662027833,-26.8986083499006
1,1.0,590,15,20.0,0.1,0.1,82.00845665961945,66.68076109936575,-15.327695560253698
