model_used,perturbed_standard_deviation,data_size,knn,percentage_of_known_labels,α,β,unperturbed_accuracy,perturbed_accuracy,perturbed_difference
1,0.25,590,15,5.0,0.1,0.1,72.34875444839858,70.40925266903915,-1.9395017793594291
1,0.25,590,15,10.0,0.1,0.1,78.64150943396227,78.66037735849056,0.01886792452830264
1,0.25,590,15,15.0,0.1,0.1,79.56262425447315,79.3638170974155,-0.19880715705765226
1,0.25,590,15,20.0,0.1,0.1,82.57928118393235,82.38900634249471,-0.19027484143763332
1,0.5,590,15,5.0,0.1,0.1,70.19572953736655,60.71174377224198,-9.483985765124554
1,0.5,590,15,10.0,0.1,0.1,79.09433962264153,75.24528301886792,-3.8490566037735903
1,0.5,590,15,15.0,0.1,0.1,79.86083499005964,77.03777335984095,-2.8230616302186875
1,0.5,590,15,20.0,0.1,0.1,81.88160676532769,79.04862579281185,-2.832980972515853
1,0.75,590,15,5.0,0.1,0.1,71.19217081850533,26.850533807829187,-44.341637010676166
1,0.75,590,15,10.0,0.1,0.1,77.52830188679245,56.66037735849055,-20.867924528301895
1,0.75,590,15,15.0,0.1,0.1,80.3976143141153,63.26043737574552,-17.13717693836978
1,0.75,590,15,20.0,0.1,0.1,82.85412262156447,74.43974630021141,-8.414376321353064
1,1.0,590,15,5.0,0.1,0.1,71.13879003558719,17.08185053380783,-54.05693950177935
1,1.0,590,15,10.0,0.1,0.1,77.33962264150944,28.075471698113205,-49.26415094339623
1,1.0,590,15,15.0,0.1,0.1,80.47713717693837,61.90854870775348,-18.568588469184892
1,1.0,590,15,20.0,0.1,0.1,81.56448202959831,62.26215644820295,-19.302325581395348
